NUM,CODE,Country,Continent,Cluster,Human_population_2010,Cov,Cov_L,Cov_U
62,CHL,Chile,Americas,SouthernCone,17134000,,,
95,CHN,China,Asia,China,1354148000,0.142,0,0.5
63,COL,Colombia,Americas,Andean,46299000,0.732117866,0.6,0.8
11,COM,Comoros,Africa,SADC,692000,,,
12,COG,Congo,Africa,Congo,3759000,0.000772227,0,0.01
178,COK,Cook Islands,Oceania,Oceania,18027,,,
64,CRI,Costa Rica,Americas,CentralAmericaMexico,4641000,0.22,0.12,0.32
142,HRV,Croatia,Europe,EasternEurope,4410000,,,
65,CUB,Cuba,Americas,Carribbean,11204000,0.646449,0.5818041,0.718276667
143,CYP,Cyprus,Europe,EasternEurope,880000,,,
144,CZE,Czech Republic,Europe,EasternEurope,10410000,,,
96,PRK,Democratic People's Republic of Korea,Asia,Asia_2,23990000,,,
14,COD,Democratic Republic of the Congo,Africa,Congo,67826000,,,
145,DNK,Denmark,Europe,EU,5479000,,,
15,DJI,Djibouti,Africa,NorthAfrica,879000,0.001,0,0.002
66,DMA,Dominica,Americas,Carribbean,69625,,,
67,DOM,Dominican Republic,Americas,Carribbean,10225000,0.266962762,0.166962762,0.366962762
68,ECU,Ecuador,Americas,Andean,13772000,0.784776916,0.6,0.8
16,EGY,Egypt,Africa,NorthAfrica,84474000,,,
69,SLV,El Salvador,Americas,CentralAmericaMexico,6193000,0.657,0.5913,0.73
17,GNQ,Equatorial Guinea,Africa,Congo,694000,,,
18,ERI,Eritrea,Africa,NorthAfrica,5222000,0.001,0,0.002
146,EST,Estonia,Europe,EasternEurope,1338000,,,
19,ETH,Ethiopia,Africa,SADC,84977000,,,
179,FJI,Fiji,Oceania,Oceania,854000,,,
147,FIN,Finland,Europe,EU,5346000,,,
148,FRA,France,Europe,EU,62634000,,,
20,GAB,Gabon,Africa,Congo,1501000,0.007866755,0,0.01
21,GMB,Gambia,Africa,Francophone,1750000,,,
149,GEO,Georgia,Europe,Eurasia,4218000,,,
150,DEU,Germany,Europe,EU,82056000,,,
22,GHA,Ghana,Africa,Francophone,24332000,,,
151,GRC,Greece,Europe,EasternEurope,11183000,,,
70,GRD,Grenada,Americas,Carribbean,102000,,,
71,GTM,Guatemala,Americas,CentralAmericaMexico,14376000,0.63,0.567,0.7
23,GIN,Guinea,Africa,Congo,10322000,,,
24,GNB,Guinea-Bissau,Africa,Francophone,1643000,,,
72,GUY,Guyana,Americas,CentralAmericaMexico,763000,,,
73,HTI,Haiti,Americas,Carribbean,10188000,0.314095014,0.214095014,0.414095014
74,HND,Honduras,Americas,CentralAmericaMexico,7619000,0.82476,0.742284,0.9164
152,HUN,Hungary,Europe,EasternEurope,9972000,,,
153,ISL,Iceland,Europe,EU,330000,,,
97,IND,India,Asia,India,1214465000,0.15,0.05,0.25
98,IDN,Indonesia,Asia,Indonesia,232517000,0.238,0.138,0.338
99,IRN,Iran (Islamic Republic of),Asia,MiddleEast,75077000,0.181818182,0.081818182,0.281818182
100,IRQ,Iraq,Asia,MiddleEast,31467000,,,
154,IRL,Ireland,Europe,EU,4589000,,,
101,ISR,Israel,Asia,MiddleEast,7284000,0.631788935,0.531788935,0.731788935
155,ITA,Italy,Europe,EU,60098000,,,
13,CIV,C_te d'Ivoire,Africa,Francophone,21570000,,,
75,JAM,Jamaica,Americas,Carribbean,2732000,,,
102,JPN,Japan,Asia,Asia_1,126996000,,,
103,JOR,Jordan,Asia,MiddleEast,6471000,,,
104,KAZ,Kazakhstan,Asia,Eurasia,15752000,,,
25,KEN,Kenya,Africa,SADC,40863000,,,
180,KIR,Kiribati,Oceania,Oceania,100059,,,
105,KWT,Kuwait,Asia,MiddleEast,3052000,,,
106,KGZ,Kyrgyzstan,Asia,Eurasia,5549000,,,
107,LAO,Lao People's Democratic Republic,Asia,Asia_2,6436000,0.0139,0.006,0.014
156,LVA,Latvia,Europe,EasternEurope,2242000,,,
108,LBN,Lebanon,Asia,MiddleEast,4251000,,,
26,LSO,Lesotho,Africa,SADC,2085000,,,
27,LBR,Liberia,Africa,Francophone,4101000,,,
28,LBY,Libyan Arab Jamahiriya,Africa,NorthAfrica,6544000,,,
157,LTU,Lithuania,Europe,EasternEurope,3254000,,,
158,LUX,Luxembourg,Europe,EU,492000,,,
29,MDG,Madagascar,Africa,SADC,20147000,,,
30,MWI,Malawi,Africa,SADC,15689000,,,
109,MYS,Malaysia,Asia,Asia_1,27915000,,,
110,MDV,Maldives,Asia,Asia_1,313000,,,
31,MLI,Mali,Africa,Francophone,13324000,,,
159,MLT,Malta,Europe,EasternEurope,408000,,,
181,MHL,Marshall Islands,Oceania,Oceania,63391,,,
32,MRT,Mauritania,Africa,Francophone,3365000,,,
33,MUS,Mauritius,Africa,SADC,1297000,,,
76,MEX,Mexico,Americas,CentralAmericaMexico,110647000,0.765,0.6885,0.85
182,FSM,Micronesia (Federated States of),Oceania,Oceania,113000,,,
165,MDA,Moldova,Europe,EasternEurope,3707000,,,
160,MCO,Monaco,Europe,EU,33105,,,
111,MNG,Mongolia,Asia,Eurasia,2699000,0.15,0.05,0.25
34,MAR,Morocco,Africa,NorthAfrica,32382000,0.140114353,0.040114353,0.240114353
35,MOZ,Mozambique,Africa,SADC,23409000,0.1,0,0.2
112,MMR,Myanmar,Asia,Asia_2,50494000,,,
36,NAM,Namibia,Africa,SADC,2213000,,,
183,NRU,Nauru,Oceania,Oceania,10300,,,
113,NPL,Nepal,Asia,Asia_3,29852000,0.0017,0,0.003
161,NLD,Netherlands,Europe,EU,16653000,,,
184,NZL,New Zealand,Oceania,Oceania,4304000,,,
77,NIC,Nicaragua,Americas,CentralAmericaMexico,5821000,0.873,0.7857,0.97
37,NER,Niger,Africa,Francophone,15892000,,,
38,NGA,Nigeria,Africa,Francophone,158259000,0.12292,0.02292,0.22292
185,NIU,Niue,Oceania,Oceania,1591,,,
162,NOR,Norway,Europe,EU,4857000,,,
114,OMN,Oman,Asia,MiddleEast,2905000,0.15,0.05,0.25
115,PAK,Pakistan,Asia,Asia_3,184753000,,,
186,PLW,Palau,Oceania,Oceania,20318,,,
78,PAN,Panama,Americas,CentralAmericaMexico,3507000,0.066666667,0,0.1
187,PNG,Papua New Guinea,Oceania,Oceania,6890000,,,
79,PRY,Paraguay,Americas,SouthernCone,6459000,0.837,0.7533,0.93
80,PER,Peru,Americas,Andean,29496000,0.327375704,0.2,0.6
116,PHL,Philippines,Asia,Asia_4,93616000,0.1,0,0.2
163,POL,Poland,Europe,EasternEurope,38038000,0.624,0.524,0.724
164,PRT,Portugal,Europe,EU,10733000,,,
117,QAT,Qatar,Asia,MiddleEast,1509000,,,
118,KOR,Republic of Korea,Asia,Asia_1,48502000,,,
166,ROU,Romania,Europe,EasternEurope,21190000,,,
119,RUS,Russian Federation,Asia,Eurasia,140367000,0.4,0.3,0.5
39,RWA,Rwanda,Africa,Congo,10276000,0.26,0,0.3
81,KNA,Saint Kitts and Nevis,Americas,Carribbean,51672,,,
82,LCA,Saint Lucia,Americas,Carribbean,172000,,,
83,VCT,Saint Vincent and the Grenadines,Americas,Carribbean,106000,,,
188,WSM,Samoa,Oceania,Oceania,181000,,,
167,SMR,San Marino,Europe,EU,29198,,,
40,STP,Sao Tome and Principe,Africa,Francophone,164000,,,
120,SAU,Saudi Arabia,Asia,MiddleEast,26245000,,,
41,SEN,Senegal,Africa,Francophone,12860000,,,
168,SRB,Serbia and Montenegro,Europe,EasternEurope,10525000,,,
42,SYC,Seychelles,Africa,SADC,86264,,,
43,SLE,Sierra Leone,Africa,Francophone,5835000,,,
121,SGP,Singapore,Asia,Asia_1,4839000,,,
169,SVK,Slovakia,Europe,EasternEurope,5411000,,,
170,SVN,Slovenia,Europe,EasternEurope,2025000,,,
189,SLB,Solomon Islands,Oceania,Oceania,534000,,,
44,SOM,Somalia,Africa,NorthAfrica,9359000,0.001,0,0.002
45,ZAF,South Africa,Africa,SADC,50491000,0.63,0.567,0.7
171,ESP,Spain,Europe,EU,45317000,,,
122,LKA,Sri Lanka,Asia,Asia_4,20411000,0.493,0.4,0.6
46,SDN,Sudan,Africa,NorthAfrica,43194000,0.002,0,0.01
84,SUR,Suriname,Americas,CentralAmericaMexico,527000,,,
47,SWZ,Swaziland,Africa,SADC,1200000,,,
172,SWE,Sweden,Europe,EU,9294000,,,
173,CHE,Switzerland,Europe,EU,7597000,,,
123,SYR,Syrian Arab Republic,Asia,MiddleEast,22505000,,,
124,TJK,Tajikistan,Asia,Eurasia,7075000,0.147097382,0.047097382,0.247097382
125,THA,Thailand,Asia,Asia_4,68139000,0.495,0.4455,0.55
174,MKD,The former Yugoslav Republic of Macedonia,Europe,EasternEurope,2041000,,,
126,TLS,Timor-Leste,Asia,Indonesia,1170000,,,
48,TGO,Togo,Africa,Francophone,6781000,0.08258369,0,0.18258369
190,TON,Tonga,Oceania,Oceania,104000,,,
85,TTO,Trinidad and Tobago,Americas,Carribbean,1344000,,,
49,TUN,Tunisia,Africa,NorthAfrica,10374000,0.4845,0.43605,0.538333333
127,TUR,Turkey,Europe,EasternEurope,75705000,,,
128,TKM,Turkmenistan,Asia,Eurasia,5177000,,,
191,TUV,Tuvalu,Oceania,Oceania,9885,,,
50,UGA,Uganda,Africa,SADC,33797000,0.1,0,0.2
175,UKR,Ukraine,Europe,EasternEurope,45436000,,,
129,ARE,United Arab Emirates,Asia,MiddleEast,4709000,,,
176,GBR,United Kingdom,Europe,EU,61899000,,,
51,TZA,United Republic of Tanzania,Africa,SADC,45039000,,,
86,USA,United States of America,Americas,NorthAmerica,317640000,0.767263427,0.667,0.867
87,URY,Uruguay,Americas,SouthernCone,3373000,,,
130,UZB,Uzbekistan,Asia,Eurasia,27793000,0.40333897,0.30333897,0.50333897
192,VUT,Vanuatu,Oceania,Oceania,246000,,,
88,VEN,Venezuela (Bolivarian Republic of),Americas,Andean,29044000,0.20568864,0.1,0.8
131,VNM,Viet Nam,Asia,Asia_2,89029000,0.25,0.1,0.5
132,YEM,Yemen,Asia,MiddleEast,24258000,,,
52,ZMB,Zambia,Africa,SADC,13255000,0.2,0,0.3
53,ZWE,Zimbabwe,Africa,SADC,12643000,0.111524164,0.011524164,0.211524164
