"NUM","CODE","Country","Continent","Cluster","Human_population_2010","Cov","Cov_L","Cov_U","mRP","lRP","uRP","Coverage","HDI","pop","PP","PPl","PPu","BI","BI_L","BI_U","LL","LLpc","LLpcU","LLpcL","L.cost.per","NTVcost","HRIGcost","ERIGcost","TCVcost","Num.1","Code","RISK","NTV","TCV_IM","TCV_ID","HRIG","ERIG","SMP","SMB","ND_NTV","ND_IM","ND_ID","NC_NTV","NC_IM","NC_ID","NTRAV","TRAV_U","TRAV_R","WK_LOST","DVAC","DVAC_C","DSTE","DSTE_C","DKIL","DKIL_C","CAT","CAT_C","TEST","TEST_C","CODE_GDP","GDP.US.","US..I.","FIRST_CONSULT","SUB_CONSULT","WHO","TRAVEL"
11,"COM","Comoros","Africa","SADC",692000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.433,692000,0.899485769987285,0.830937562844573,0.939461886823968,0.00149356128571429,0.0003772,0.004230129,0,0,0,0,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,11,"COM",0,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0,700,3.90023e-05,16,"COM",802.475,0.667724797,3.44141571,2.524515179,"AFRD",0.029297642
12,"COG","Congo","Africa","Congo",3759000,0.000772227,0,0.01,0.742146195533404,0.632520560662417,0.827799266094212,0.000772227,0.533,3759000,0.971291965165908,0.956708362182471,0.980890431312084,0.001333152,0.00128403082142857,0.00195446,294.104525030265,7.8240097108344e-05,1.60884653239801e-05,0.000657120760724522,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,12,"COG",1,0,1,0,0,0,NA,NA,14,4,5,NA,4,NA,4,20,100,NA,6.27827e-05,1.2,0,0,3.76827e-06,5,3.91366e-05,500,0,16,"COG",2983.467,0.673968468,10.06895809,7.385732372,"AFRE",0.037285812
13,"CIV","C_te d'Ivoire","Africa","Francophone",21570000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.4,21570000,0.852286518376609,0.746055786650131,0.91453534867652,0.00128403082142857,0.00128403082142857,0.00195446,2634.78716037297,0.000122150540582891,2.60598646585767e-05,0.00099012212308713,500,0.379489713,234.0454485,72.16175799,24.41604662,13,"CIV",1,0,1,0,0,0,NA,NA,14,3.5,5,NA,3.5,NA,4,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,6.14791e-05,500,6.02689e-07,16,"CIV",1036.164,0.616490168,4.36157317,3.199279593,"AFRE",0.036351187
14,"COD","Democratic Republic of the Congo","Africa","Congo",67826000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.286,67826000,0.558858961244852,0.320648435909819,0.760175615571365,0.001333152,0.00128403082142857,0.00195446,2411.63362726466,3.55561823970846e-05,7.47033809068322e-06,0.000292498347163166,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,14,"COD",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.26,0,0,3.76827e-06,5,1.75706e-05,500,0,16,"COD",186.278,0.567747638,1.964487959,1.440981498,"AFRE",0.036563438
15,"DJI","Djibouti","Africa","NorthAfrica",879000,0.001,0,0.002,0.741822762333594,0.632244903183996,0.827438504606726,0.001,0.43,879000,0.895820635724255,0.824187082074453,0.937417702373579,0.00195446,0.0002486,0.003353,748.320632461294,0.000851331777544134,0.000175261395391103,0.00714217258760463,763.266666666667,0.379489713,234.0454485,30.91181177,14.2323561675,15,"DJI",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,80,NA,0,1.43,9.6556e-05,9.6556e-05,0.00096556,5,0.000413387,500,1.07685e-05,16,"DJI",1383.053,0.541417646,4.151806496,3.04627648,"EMRD",0.018372243
16,"EGY","Egypt","Africa","NorthAfrica",84474000,NA,0.137,0.337,0.44310873452964,0.377655220610083,0.494249094654371,0.237,0.644,84474000,0.993291628506839,0.989615872156377,0.995869306973005,0.0023676,0.0002486,0.003353,959.171334349718,1.13546337849482e-05,9.1707969905547e-06,2.54908383515493e-05,763.266666666667,0.379489713,234.0454485,30.91181177,11.92534231,16,"EGY",1,0,1,0,0,0,NA,NA,14,5.5,5,NA,5.5,NA,5.5,10,60,NA,0.009655602,1.43,9.6556e-05,9.6556e-05,0.00096556,5,7.52703e-06,500,1.07685e-05,16,"EGY",2788.829,0.438879007,3.561288617,2.61299985,"EMRD",0.01470967
17,"GNQ","Equatorial Guinea","Africa","Congo",694000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.537,694000,0.972738692830323,0.958798772082487,0.98180802472622,0.001333152,0.00128403082142857,0.00195446,19.5503975845857,2.81706017068958e-05,5.91863087601173e-06,0.000231741820475488,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,17,"GNQ",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000376827,1.5,0,0,3.76827e-06,5,1.39209e-05,500,1.4999e-06,16,"GNQ",11033.264,0.608122376,13.73026537,10.07209424,"AFRD",0.029960818
18,"ERI","Eritrea","Africa","NorthAfrica",5222000,0.001,0,0.002,0.741822762333594,0.632244903183996,0.827438504606726,0.001,0.349,5222000,0.7454301098905,0.567722652506682,0.861361752010547,0.00195446,0.0002486,0.003353,4298.49862807338,0.00082315178630283,0.000169460055986967,0.00690575904558558,763.266666666667,0.379489713,234.0454485,30.91181177,14.2323561675,18,"ERI",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,100,NA,0,1.43,9.6556e-05,9.6556e-05,0.00096556,5,0.000399703,500,1.07685e-05,16,"ERI",397.719,0.583981722,3.884191597,2.849113021,"AFRE",0.040097182
19,"ETH","Ethiopia","Africa","SADC",84977000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.363,84977000,0.779125182448968,0.621623501586249,0.878680585799563,0.0010557,0.0003772,0.004230129,85669.1574795072,0.00100814523317494,0.000211810864626035,0.00829337669356411,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,19,"ETH",1,0.95,0.05,0,0,0,1,0,15,4,5,15,NA,NA,15,10,80,14.25,0.000111213,1.44,4.02914e-08,4.02914e-08,2.68308e-05,20,0.000483798,683,2.82429e-06,16,"ETH",350.441,0.345055376,1.030761808,0.756079307,"AFRE",0.021955935
20,"GAB","Gabon","Africa","Congo",1501000,0.007866755,0,0.01,0.732103685783402,0.623961473604153,0.816597723526415,0.007866755,0.674,1501000,0.995488688829097,0.992619432035167,0.99735283653176,0.001333152,0.00128403082142857,0.00195446,124.007184961418,8.26163790549088e-05,1.76135566443197e-05,0.000670108085010338,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,20,"GAB",1,0,1,0,0,0.136363636,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000806129,1.26,0,0,3.76827e-06,5,4.06887e-05,500,6.66223e-06,16,"GAB",8724.231,0.58081786,31.62901116,23.20205564,"AFRD",0.023116666
21,"GMB","Gambia","Africa","Francophone",1750000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.42,1750000,0.882739638785224,0.800859719258783,0.930512346727526,0.00128403082142857,0.00128403082142857,0.00195446,794.848141263745,0.000454198937864997,9.68997991523331e-05,0.00368162444895309,500,0.379489713,234.0454485,72.16175799,24.41604662,21,"GMB",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000228601,500,5.71429e-07,16,"GMB",616.555,0.305492478,1.843340251,1.352216888,"AFRD",0.013642342
22,"GHA","Ghana","Africa","Francophone",24332000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.541,24332000,0.974114456368548,0.960889427974478,0.982719129155913,0.00128403082142857,0.00128403082142857,0.00195446,3932.74039573409,0.000161628324664396,3.44821418361909e-05,0.00131011929381623,500,0.379489713,234.0454485,72.16175799,24.41604662,22,"GHA",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000134391,1.5,0,0,4.42657e-06,20,8.63019e-05,500,1.56173e-06,16,"GHA",1311.625,0.501566505,2.480800015,1.81983748,"AFRD",0.019531378
23,"GIN","Guinea","Africa","Congo",10322000,NA,0,0.01,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.344,10322000,0.732606948836115,0.549113567052635,0.855070120837844,0.001333152,0.00128403082142857,0.00195446,7597.59239652036,0.000736058166684786,0.000154645493099807,0.00605508754474449,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,23,"GIN",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000363733,500,9.68804e-08,16,"GIN",448.486,0.428728477,1.999442831,1.46672887,"AFRD",0.020068037
24,"GNB","Guinea-Bissau","Africa","Francophone",1643000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.353,1643000,0.755392576481548,0.582476070156097,0.866283234579939,0.00128403082142857,0.00128403082142857,0.00195446,1090.89058384007,0.000663962619500953,0.000141651243784772,0.00538191706179688,500,0.379489713,234.0454485,72.16175799,24.41604662,24,"GNB",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000334177,500,1.21729e-06,16,"GNB",508.662,0.469070568,1.937426122,1.421235348,"AFRD",0.020343302
25,"KEN","Kenya","Africa","SADC",40863000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.509,40863000,0.960919529067124,0.939782223788528,0.974131299892268,0.00234,0.0003772,0.004230129,26845.6237209556,0.000656966539925007,0.000138028377532132,0.00540445048131278,584.666666666667,0.379489713,234.0454485,132.8449541,25.86515406,25,"KEN",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.006493506,1.23,4.02914e-08,4.02914e-08,4.02914e-06,20,0.000227416,800,2.20248e-06,16,"KEN",809.287,0.487074826,2.554328653,1.873638528,"AFRE",0.029900302
26,"LSO","Lesotho","Africa","SADC",2085000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.45,2085000,0.918160437478996,0.866048450331533,0.949758893679153,0.00149356128571429,0.0003772,0.004230129,1559.54560442257,0.000747983503320175,0.000157151001017296,0.00615318978801293,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,26,"LSO",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0.000375081,700,8.15348e-06,16,"LSO",836.863,0.643991926,3.176358273,2.32990662,"AFRE",0.036951635
27,"LBR","Liberia","Africa","Francophone",4101000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.329,4101000,0.691768606301408,0.489601527005103,0.83523257527594,0.00128403082142857,0.00128403082142857,0.00195446,174.168025495647,4.24696477677754e-05,9.06056794873213e-06,0.000344248479081082,500,0.379489713,234.0454485,72.16175799,24.41604662,27,"LBR",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,2.18828e-05,500,1.44559e-06,16,"LBR",226.047,0.576140508,9.979426668,7.320596006,"AFRD",0.032578796
28,"LBY","Libyan Arab Jamahiriya","Africa","NorthAfrica",6544000,NA,0.137,0.337,0.44310873452964,0.377655220610083,0.494249094654371,0.237,0.76,6544000,0.99855814572246,0.99718362737525,0.999314276306498,0.00195446,0.0002486,0.003353,144.830032427934,2.21317286717502e-05,1.78751331432382e-05,4.96851178731791e-05,763.266666666667,0.379489713,234.0454485,30.91181177,14.2323561675,28,"LBY",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,10,60,NA,0.009655602,1.43,9.6556e-05,9.6556e-05,0.00096556,5,1.46712e-05,500,1.07685e-05,16,"LBY",11314.15,0.819597613,31.29162559,22.93555368,"EMRB",0.013037343
29,"MDG","Madagascar","Africa","SADC",20147000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.48,20147000,0.943565718272549,0.909392105924278,0.964122426354914,0.0012409,0.0003772,0.004230129,16330.9571127762,0.000810590018999165,0.000170304602086686,0.00666821421198627,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,29,"MDG",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0.000406476,700,3.90023e-05,16,"MDG",391.818,0.430038535,2.298575541,1.686163292,"AFRD",0.019143874
30,"MWI","Malawi","Africa","SADC",15689000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.4,15689000,0.852286518376609,0.746055786650131,0.91453534867652,0.00149356128571429,0.0003772,0.004230129,2125.06423003208,0.000135449310346872,2.84578397967713e-05,0.00111425627640214,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,30,"MWI",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.245,4.02914e-08,4.02914e-08,4.02914e-06,20,6.79219e-05,700,5.09911e-06,16,"MWI",321.942,0.389263579,1.746520883,1.281099365,"AFRE",0.022409898
31,"MLI","Mali","Africa","Francophone",13324000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.359,13324000,0.769834790187763,0.605914249460932,0.873814509047483,0.0005809,0.00052281,0.00195446,16876.2184928075,0.00126660300906691,0.0002702198683274,0.0102667712681538,500,0.379489713,234.0454485,72.16175799,24.41604662,31,"MLI",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.003821429,1.5,0,0,0,20,0.000293586,500,1.44559e-06,16,"MLI",691.637,0.55259388,3.321609473,2.436629062,"AFRD",0.022579778
32,"MRT","Mauritania","Africa","Francophone",3365000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.453,3365000,0.921108849290436,0.871551706929909,0.951412060603805,0.00128403082142857,0.00128403082142857,0.00195446,6038.91562660052,0.00179462574341769,0.000382869398392273,0.01454679318438,500,0.379489713,234.0454485,72.16175799,24.41604662,32,"MRT",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000903247,500,4.16048e-06,16,"MRT",1194.849,0.570866097,3.055530681,2.241441963,"AFRD",0.019008601
33,"MUS","Mauritius","Africa","SADC",1297000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.728,1297000,0.997794968549939,0.996007963590262,0.998864689829913,0.00149356128571429,0.0003772,0.004230129,0,0,0,0,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,33,"MUS",0,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0,700,3.90023e-05,16,"MUS",7593.258,0.53864912,16.74650788,12.28471562,"AFRD",0.026091505
34,"MAR","Morocco","Africa","NorthAfrica",32382000,0.140114353,0.040114353,0.240114353,0.556900182630218,0.47463804014665,0.621173517082696,0.140114353,0.582,32382000,0.984829471573615,0.977718061547954,0.989774406293418,0.0015441,0.0002486,0.003353,2647.18677626731,8.17487115146474e-05,3.60072135074287e-05,0.000329341402206162,763.266666666667,0.379489713,234.0454485,16.27154171,17.79126703,34,"MAR",1,0,1,0,0.023992528,0.071977584,NA,NA,14,5,5,NA,NA,NA,5,10,60,NA,0.007720338,1.43,9.6556e-05,9.6556e-05,0.001544068,5,1.79523e-05,500,8.7703e-06,16,"MAR",3248.951,0.683358405,3.433032768,2.518895566,"EMRD",0.022044318
35,"MOZ","Mozambique","Africa","SADC",23409000,0.1,0,0.2,0.607630684667717,0.51787491959785,0.677758961578642,0.1,0.322,23409000,0.671572509425466,0.460877018832922,0.824943115619537,0.00149356128571429,0.0003772,0.004230129,1455.83166345241,6.21911086954766e-05,2.17370002330672e-05,0.000313153126314754,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,35,"MOZ",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.005767013,1.44,4.02914e-08,4.02914e-08,4.02914e-06,20,3.45851e-05,700,3.41749e-06,16,"MOZ",458.327,0.453620685,2.00572571,1.471230009,"AFRE",0.028496931
36,"NAM","Namibia","Africa","SADC",2213000,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.625,2213000,0.991379737541416,0.987090719589776,0.994546752020054,0.00149356128571429,0.0003772,0.004230129,5241.77326543239,0.00236862777470962,0.000497647640864683,0.0194852107971001,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,36,"NAM",1,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.47,4.02914e-08,4.02914e-08,4.02914e-06,20,0.001187764,540,0.000293719,16,"NAM",5651.729,0.812903784,4.680269092,3.43304785,"AFRE",0.044994841
37,"NER","Niger","Africa","Francophone",15892000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.295,15892000,0.588126512366606,0.353792453147279,0.778492356991989,0.00128403082142857,0.00128403082142857,0.00195446,18314.7899926141,0.00115245343522616,0.000245866947489481,0.00934150300604564,500,0.379489713,234.0454485,72.16175799,24.41604662,37,"NER",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000580037,500,6.29247e-08,16,"NER",381.157,0.504643188,2.29711638,1.685092897,"AFRD",0.020718402
38,"NGA","Nigeria","Africa","Francophone",158259000,0.12292,0.02292,0.22292,0.578386652584268,0.492950650389466,0.645139797804696,0.12292,0.459,158259000,0.926715991205709,0.881938297199371,0.954562661203923,0.00128403082142857,0.00128403082142857,0.00195446,15086.6235639253,9.53286926110065e-05,3.7976900118661e-05,0.000423106534875625,500,0.379489713,234.0454485,72.16175799,24.41604662,38,"NGA",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.026354048,1.5,0,0,4.42657e-06,20,5.59526e-05,500,1.5165e-07,16,"NGA",1389.307,0.57362992,5.237975017,3.842415027,"AFRD",0.026335034
39,"RWA","Rwanda","Africa","Congo",10276000,0.26,0,0.3,0.417920413793449,0.356187576027267,0.466153722684462,0.26,0.429,10276000,0.894572918785813,0.821867709193509,0.936757061099276,0.001333152,0.00128403082142857,0.00195446,146.152863438032,1.42227387541876e-05,1.34165248401727e-05,2.74897461982957e-05,763.266666666667,0.379489713,234.0454485,69.22610823,20.47795568,39,"RWA",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.027412449,1.5,0,0,3.76827e-06,5,9.75494e-06,500,0,16,"RWA",562.313,0.462221291,1.423277323,1.043995347,"AFRE",0.027168694
40,"STP","Sao Tome and Principe","Africa","Francophone",164000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.509,164000,0.960919529067124,0.939782223788528,0.974131299892268,0.00128403082142857,0.00128403082142857,0.00195446,0,0,0,0,500,0.379489713,234.0454485,72.16175799,24.41604662,40,"STP",0,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0,500,1.44559e-06,16,"STP",1183.282,0.629193134,3.412490442,2.503296505,"AFRD",0.029180501
41,"SEN","Senegal","Africa","Francophone",12860000,NA,0,0.1,0.7319156980778,0.623801254378265,0.816388039658643,0.008,0.459,12860000,0.926715991205709,0.881938297199371,0.954562661203923,0.00128403082142857,0.00128403082142857,0.00195446,7262.6531625734,0.000564747524305863,0.000120484477427997,0.00457770399627883,500,0.379489713,234.0454485,72.16175799,24.41604662,41,"SEN",1,0,1,0,0,0,NA,NA,14,5,5,NA,NA,NA,5,20,100,NA,0.000442657,1.5,0,0,4.42657e-06,20,0.000284241,500,7.77605e-08,16,"SEN",980.929,0.539202472,4.141235535,3.037881166,"AFRD",0.023185612
42,"SYC","Seychelles","Africa","SADC",86264,NA,0,0.2,0.736153802590764,0.62741333008359,0.821115275109794,0.005,0.773,86263.79356,0.998786791468236,0.997546950359582,0.999437453939164,0.00149356128571429,0.0003772,0.004230129,0,0,0,0,584.666666666667,0.379489713,234.0454485,132.8449541,24.9649076766667,42,"SYC",0,0,1,0,0,0,NA,NA,14,4,5,NA,NA,NA,4,10,80,NA,0.000402914,1.5,4.02914e-08,4.02914e-08,4.02914e-06,20,0,700,3.90023e-05,16,"SYC",10681.88,0.455944498,18.65677646,13.68602905,"AFRD",0.020456621
